Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1680991200.0 134.99603 NA 31 507 0 NA NA NA NA NA 89 606 0 NA NA NA NA NA 253 6097 638 NA NA NA NA NA 504 4550 834 NA NA NA NA
1680991200.0 134.99901 NA 32 502 0 NA NA NA NA NA 91 606 0 NA NA NA NA NA 265 4830 605 NA NA NA NA NA 692 4173 714 NA NA NA NA
1680991200.0 1340.0 NA 100 552 0 NA NA NA NA NA 381 682 0 NA NA NA NA NA 498 1574 602 NA NA NA NA NA 547 2825 795 NA NA NA NA
1680991200.0 1341.0 NA 110 573 0 NA NA NA NA NA 373 690 0 NA NA NA NA NA 629 1955 618 NA NA NA NA NA 1537 2915 828 NA NA NA NA
1680991200.0 1344.0 NA 103 559 0 NA NA NA NA NA 381 674 0 NA NA NA NA NA 535 1661 612 NA NA NA NA NA 1236 3134 832 NA NA NA NA
1680991200.0 1345.0 NA 101 558 0 NA NA NA NA NA 381 663 0 NA NA NA NA NA 530 1661 602 NA NA NA NA NA 985 3449 786 NA NA NA NA
1680991200.0 1348.0 NA 100 551 0 NA NA NA NA NA 381 662 0 NA NA NA NA NA 505 1598 610 NA NA NA NA NA 1249 2587 841 NA NA NA NA
1680991200.0 1350.0 NA 104 557 0 NA NA NA NA NA 381 685 0 NA NA NA NA NA 514 1619 601 NA NA NA NA NA 952 2825 802 NA NA NA NA
1680991200.0 1352.0 NA 103 560 0 NA NA NA NA NA 381 680 0 NA NA NA NA NA 530 1643 609 NA NA NA NA NA 1391 3174 817 NA NA NA NA
1680991200.0 1353.0 NA 109 569 0 NA NA NA NA NA 381 679 0 NA NA NA NA NA 534 1717 611 NA NA NA NA NA 769 2798 819 NA NA NA NA
1680991200.0 1354.0 NA 106 560 0 NA NA NA NA NA 374 669 0 NA NA NA NA NA 519 1675 604 NA NA NA NA NA 1356 3351 806 NA NA NA NA
1680991200.0 1356.0 86 100 567 0 140 NA NA NA 160 370 694 0 215 NA NA NA 3190 540 1676 591 623 NA NA NA 2564 891 4390 817 1126 NA NA NA
1680991200.0 136.721 NA 73 523 0 NA NA NA NA NA 133 629 0 NA NA NA NA NA 776 6354 760 NA NA NA NA NA 1404 3849 1088 NA NA NA NA
1680991200.0 136.722 NA 73 535 0 NA NA NA NA NA 136 675 0 NA NA NA NA NA 554 7382 744 NA NA NA NA NA 1876 4430 1111 NA NA NA NA
1680991200.0 136.723 NA 83 525 0 NA NA NA NA NA 135 633 0 NA NA NA NA NA 779 6909 750 NA NA NA NA NA 1908 4461 1030 NA NA NA NA
1680991200.0 136.724 NA 73 539 0 NA NA NA NA NA 134 683 0 NA NA NA NA NA 746 8114 748 NA NA NA NA NA 1618 4913 1005 NA NA NA NA
1680991200.0 136.725 NA 73 549 0 NA NA NA NA NA 135 714 0 NA NA NA NA NA 844 7344 745 NA NA NA NA NA 1317 4912 994 NA NA NA NA
1680991200.0 136.726 NA 72 531 0 NA NA NA NA NA 134 639 0 NA NA NA NA NA 843 7630 747 NA NA NA NA NA 1460 4874 952 NA NA NA NA
1680991200.0 136.727 NA 132 551 0 NA NA NA NA NA 242 696 0 NA NA NA NA NA 1594 7823 766 NA NA NA NA NA 1745 5225 1240 NA NA NA NA
1680991200.0 136.728 NA 132 551 0 NA NA NA NA NA 242 709 0 NA NA NA NA NA 1901 8266 754 NA NA NA NA NA 1942 4997 1502 NA NA NA NA
1680991200.0 136.729 NA 73 526 0 NA NA NA NA NA 130 638 0 NA NA NA NA NA 478 7297 753 NA NA NA NA NA 756 5384 1142 NA NA NA NA
1680991200.0 136.73 NA 72 545 0 NA NA NA NA NA 134 701 0 NA NA NA NA NA 600 7337 754 NA NA NA NA NA 993 5849 1527 NA NA NA NA
1680991200.0 136.731 NA 74 552 0 NA NA NA NA NA 133 722 0 NA NA NA NA NA 506 7427 747 NA NA NA NA NA 1675 4866 1002 NA NA NA NA
1680991200.0 136.732 NA 73 522 0 NA NA NA NA NA 135 627 0 NA NA NA NA NA 568 5856 744 NA NA NA NA NA 673 4209 988 NA NA NA NA
1680991200.0 136.7321 NA 85 544 0 NA NA NA NA NA 144 651 0 NA NA NA NA NA 522 5865 738 NA NA NA NA NA 1712 3673 915 NA NA NA NA
1680991200.0 136.734 NA 71 530 0 NA NA NA NA NA 135 644 0 NA NA NA NA NA 1159 7283 800 NA NA NA NA NA 1902 4608 1030 NA NA NA NA
1680991200.0 136.736 NA 81 546 0 NA NA NA NA NA 136 665 0 NA NA NA NA NA 740 10656 744 NA NA NA NA NA 863 5712 1308 NA NA NA NA
1680991200.0 136.737 NA 70 558 0 NA NA NA NA NA 128 719 0 NA NA NA NA NA 688 11900 739 NA NA NA NA NA 716 7574 974 NA NA NA NA
1680991200.0 136.738 NA 71 537 0 NA NA NA NA NA 135 663 0 NA NA NA NA NA 900 11728 748 NA NA NA NA NA 1264 7231 944 NA NA NA NA
